Date,WindSpeed,Sunshine,AirPressure,Radiation,RelativeAirHumidity,hour,dayofweek,dayofyear
2017-01-02T00:00:00.000000,1.2,0.0,1013.6,-7.6,61,0,1,2
2017-01-02T01:00:00.000000,1.1,0.0,1013.3,-7.3,65,1,1,2
2017-01-02T02:00:00.000000,1.0,0.0,1013.3,-6.9,66,2,1,2
2017-01-02T03:00:00.000000,0.7,0.0,1013.4,-6.8,66,3,1,2
2017-01-02T04:00:00.000000,1.4,0.0,1013.2,-7.4,62,4,1,2
2017-01-02T05:00:00.000000,0.6,0.0,1013.2,-7.0,65,5,1,2
2017-01-02T06:00:00.000000,1.5,0.0,1012.8,-6.1,58,6,1,2
2017-01-02T07:00:00.000000,1.1,0.0,1012.5,-6.1,64,7,1,2
2017-01-02T08:00:00.000000,0.4,0.0,1012.2,-6.5,67,8,1,2
2017-01-02T09:00:00.000000,1.3,0.0,1012.2,-5.8,67,9,1,2
2017-01-02T10:00:00.000000,0.4,7.0,1012.3,6.4,68,10,1,2
2017-01-02T11:00:00.000000,1.0,9.0,1012.3,40.1,67,11,1,2
2017-01-02T12:00:00.000000,1.0,60.0,1012.1,71.3,59,12,1,2
2017-01-02T13:00:00.000000,1.5,60.0,1011.9,97.5,52,13,1,2
2017-01-02T14:00:00.000000,1.1,60.0,1011.7,80.0,51,14,1,2
2017-01-02T15:00:00.000000,1.6,60.0,1011.8,37.0,50,15,1,2
2017-01-02T16:00:00.000000,2.2,17.0,1011.9,0.7,51,16,1,2
2017-01-02T17:00:00.000000,1.4,0.0,1012.0,-6.1,54,17,1,2
2017-01-02T18:00:00.000000,0.7,0.0,1012.2,-6.9,66,18,1,2
2017-01-02T19:00:00.000000,1.5,0.0,1011.6,-6.8,69,19,1,2
2017-01-02T20:00:00.000000,1.3,0.0,1011.6,-7.0,70,20,1,2
2017-01-02T21:00:00.000000,1.4,0.0,1011.5,-6.9,74,21,1,2
2017-01-02T22:00:00.000000,0.6,0.0,1011.2,-6.6,76,22,1,2
2017-01-02T23:00:00.000000,0.7,0.0,1010.9,-6.1,76,23,1,2
2017-01-03T00:00:00.000000,1.3,0.0,1009.9,-6.0,76,0,2,3
2017-01-03T01:00:00.000000,1.9,0.0,1009.1,-6.0,79,1,2,3
