datetime;generacion_kwh;precio_base_eur_kwh;multiplicador;precio_eur_kwh
2025-01-01T00:00:00+01:00;2980839.0;182.79;1.1393;208.261753
2025-01-01T01:00:00+01:00;3280532.0;183.19;1.1276;206.558328
2025-01-01T02:00:00+01:00;3439672.0;188.74;1.1213;211.635031
2025-01-01T03:00:00+01:00;3493408.0;187.77;1.1192;210.15054
2025-01-01T04:00:00+01:00;3712370.0;180.19;1.1106;200.115373
2025-01-01T05:00:00+01:00;3921891.0;172.3;1.1023;189.933121
2025-01-01T06:00:00+01:00;3905711.0;171.28;1.103;188.917726
2025-01-01T07:00:00+01:00;3897105.0;167.9;1.1033;185.246495
2025-01-01T08:00:00+01:00;4047719.0;165.98;1.0974;182.144961
2025-01-01T09:00:00+01:00;3786246.0;423.15;1.1077;468.712407
2025-01-01T10:00:00+01:00;3535243.0;74.95;1.1175;83.760068
2025-01-01T11:00:00+01:00;3461804.0;49.75;1.1204;55.741601
2025-01-01T12:00:00+01:00;3435042.0;45.81;1.1215;51.375305
2025-01-01T13:00:00+01:00;3702186.0;51.57;1.111;57.293255
2025-01-01T14:00:00+01:00;3795352.0;41.73;1.1073;46.208307
2025-01-01T15:00:00+01:00;3787923.0;29.12;1.1076;32.253557
2025-01-01T16:00:00+01:00;3784541.0;149.06;1.1077;165.119936
2025-01-01T17:00:00+01:00;3869615.0;272.86;1.1044;301.345379
2025-01-01T18:00:00+01:00;4328820.0;191.18;1.0863;207.685666
2025-01-01T19:00:00+01:00;4778869.0;191.57;1.0686;204.718595
2025-01-01T20:00:00+01:00;4937843.0;194.05;1.0624;206.155571
2025-01-01T21:00:00+01:00;5102448.0;195.87;1.0559;206.821112
2025-01-01T22:00:00+01:00;5158717.0;193.01;1.0537;203.374082
2025-01-01T23:00:00+01:00;5283914.0;181.25;1.0488;190.090163
2025-01-02T00:00:00+01:00;5373559.0;168.49;1.0452;176.113787
2025-01-02T01:00:00+01:00;5494464.0;156.03;1.0405;162.348075
2025-01-02T02:00:00+01:00;5619306.0;141.68;1.0356;146.721378
2025-01-02T03:00:00+01:00;5812692.0;142.58;1.028;146.568998
2025-01-02T04:00:00+01:00;5781892.0;142.57;1.0292;146.731416
2025-01-02T05:00:00+01:00;5988272.0;140.71;1.0211;143.675036
2025-01-02T06:00:00+01:00;6137051.0;161.73;1.0152;164.191645
2025-01-02T07:00:00+01:00;6235755.0;168.18;1.0113;170.086964
2025-01-02T08:00:00+01:00;6283976.0;201.94;1.0094;203.846792
2025-01-02T09:00:00+01:00;6093921.0;200.46;1.0169;203.851171
2025-01-02T10:00:00+01:00;5652529.0;241.16;1.0343;249.426057
2025-01-02T11:00:00+01:00;5719571.0;238.54;1.0316;246.087304
2025-01-02T12:00:00+01:00;6115105.0;235.88;1.0161;239.673849
2025-01-02T13:00:00+01:00;6794787.0;226.46;0.9894;224.048865
2025-01-02T14:00:00+01:00;6959028.0;167.45;0.9829;164.58553
2025-01-02T15:00:00+01:00;7086679.0;175.3;0.9779;171.421182
2025-01-02T16:00:00+01:00;6692756.0;186.57;0.9934;185.332231
2025-01-02T17:00:00+01:00;6862359.0;199.7;0.9867;197.043077
2025-01-02T18:00:00+01:00;7540472.0;274.4;0.96;263.431204
2025-01-02T19:00:00+01:00;8127066.0;277.24;0.937;259.761788
2025-01-02T20:00:00+01:00;8459266.0;278.06;0.9239;256.897258
2025-01-02T21:00:00+01:00;8852007.0;274.91;0.9084;249.740763
2025-01-02T22:00:00+01:00;8942894.0;203.8;0.9049;184.412727
2025-01-02T23:00:00+01:00;9074400.0;190.99;0.8997;171.833541
2025-01-03T00:00:00+01:00;9321981.0;154.55;0.89;137.543652
2025-01-03T01:00:00+01:00;10015845.0;141.34;0.8627;121.930276
2025-01-03T02:00:00+01:00;10590279.0;134.85;0.8401;113.285043
2025-01-03T03:00:00+01:00;10836864.0;131.54;0.8304;109.228721
2025-01-03T04:00:00+01:00;11094567.0;126.83;0.8202;104.03218
2025-01-03T05:00:00+01:00;11869919.0;129.22;0.7898;102.052213
2025-01-03T06:00:00+01:00;12069206.0;137.41;0.7819;107.443338
2025-01-03T07:00:00+01:00;12267904.0;156.63;0.7741;121.247816
2025-01-03T08:00:00+01:00;12863007.0;193.6;0.7507;145.335305
2025-01-03T09:00:00+01:00;12852532.0;190.66;0.7511;143.206795
2025-01-03T10:00:00+01:00;12427529.0;251.38;0.7678;193.015996
2025-01-03T11:00:00+01:00;12230397.0;240.31;0.7756;186.379268
2025-01-03T12:00:00+01:00;12299067.0;227.16;0.7729;175.566923
2025-01-03T13:00:00+01:00;12885000.0;218.51;0.7498;163.846213
2025-01-03T14:00:00+01:00;13478513.0;152.51;0.7265;110.797288
2025-01-03T15:00:00+01:00;13141404.0;158.29;0.7397;117.095019
2025-01-03T16:00:00+01:00;13068776.0;176.3;0.7426;130.921491
2025-01-03T17:00:00+01:00;13317714.0;198.42;0.7328;145.405339
2025-01-03T18:00:00+01:00;13343963.0;269.73;0.7318;197.383992
2025-01-03T19:00:00+01:00;13412834.0;271.39;0.7291;197.863668
2025-01-03T20:00:00+01:00;13243189.0;271.65;0.7357;199.865645
2025-01-03T21:00:00+01:00;13286352.0;270.22;0.734;198.354818
2025-01-03T22:00:00+01:00;13360446.0;201.14;0.7311;147.060565
2025-01-03T23:00:00+01:00;13116523.0;193.38;0.7407;143.242074
2025-01-04T00:00:00+01:00;12512283.0;146.27;0.7645;111.822295
2025-01-04T01:00:00+01:00;11795924.0;140.41;0.7927;111.298187
2025-01-04T02:00:00+01:00;11188340.0;138.09;0.8166;112.758915
2025-01-04T03:00:00+01:00;10691758.0;133.71;0.8361;111.793711
2025-01-04T04:00:00+01:00;10494921.0;137.16;0.8438;115.740022
2025-01-04T05:00:00+01:00;10433792.0;144.93;0.8462;122.645026
2025-01-04T06:00:00+01:00;10239673.0;151.3;0.8539;129.190637
2025-01-04T07:00:00+01:00;10270334.0;154.36;0.8527;131.617346
2025-01-04T08:00:00+01:00;10081738.0;161.36;0.8601;138.78284
2025-01-04T09:00:00+01:00;9986712.0;167.27;0.8638;144.491051
2025-01-04T10:00:00+01:00;9469017.0;150.93;0.8842;133.449205
2025-01-04T11:00:00+01:00;9168570.0;128.07;0.896;114.750155
2025-01-04T12:00:00+01:00;9087248.0;107.62;0.8992;96.771243
2025-01-04T13:00:00+01:00;9034834.0;107.13;0.9013;96.551472
2025-01-04T14:00:00+01:00;9237751.0;115.03;0.8933;102.7534
