datetime;generacion_mwh;precio_base_eur_mwh;multiplicador;precio_eur_mwh
2025-01-01T00:00:00+01:00;2980.839;182.79;1.1393;208.262
2025-01-01T01:00:00+01:00;3280.532;183.19;1.1276;206.558
2025-01-01T02:00:00+01:00;3439.672;188.74;1.1213;211.635
2025-01-01T03:00:00+01:00;3493.408;187.77;1.1192;210.151
2025-01-01T04:00:00+01:00;3712.37;180.19;1.1106;200.115
2025-01-01T05:00:00+01:00;3921.891;172.3;1.1023;189.933
2025-01-01T06:00:00+01:00;3905.711;171.28;1.103;188.918
2025-01-01T07:00:00+01:00;3897.105;167.9;1.1033;185.246
2025-01-01T08:00:00+01:00;4047.719;165.98;1.0974;182.145
2025-01-01T09:00:00+01:00;3786.246;423.15;1.1077;468.712
2025-01-01T10:00:00+01:00;3535.243;74.95;1.1175;83.76
2025-01-01T11:00:00+01:00;3461.804;49.75;1.1204;55.742
2025-01-01T12:00:00+01:00;3435.042;45.81;1.1215;51.375
2025-01-01T13:00:00+01:00;3702.186;51.57;1.111;57.293
2025-01-01T14:00:00+01:00;3795.352;41.73;1.1073;46.208
2025-01-01T15:00:00+01:00;3787.923;29.12;1.1076;32.254
2025-01-01T16:00:00+01:00;3784.541;149.06;1.1077;165.12
2025-01-01T17:00:00+01:00;3869.615;272.86;1.1044;301.345
2025-01-01T18:00:00+01:00;4328.82;191.18;1.0863;207.686
2025-01-01T19:00:00+01:00;4778.869;191.57;1.0686;204.719
2025-01-01T20:00:00+01:00;4937.843;194.05;1.0624;206.156
2025-01-01T21:00:00+01:00;5102.448;195.87;1.0559;206.821
2025-01-01T22:00:00+01:00;5158.717;193.01;1.0537;203.374
2025-01-01T23:00:00+01:00;5283.914;181.25;1.0488;190.09
2025-01-02T00:00:00+01:00;5373.559;168.49;1.0452;176.114
2025-01-02T01:00:00+01:00;5494.464;156.03;1.0405;162.348
2025-01-02T02:00:00+01:00;5619.306;141.68;1.0356;146.721
2025-01-02T03:00:00+01:00;5812.692;142.58;1.028;146.569
2025-01-02T04:00:00+01:00;5781.892;142.57;1.0292;146.731
2025-01-02T05:00:00+01:00;5988.272;140.71;1.0211;143.675
2025-01-02T06:00:00+01:00;6137.051;161.73;1.0152;164.192
2025-01-02T07:00:00+01:00;6235.755;168.18;1.0113;170.087
2025-01-02T08:00:00+01:00;6283.976;201.94;1.0094;203.847
