datetime;generacion_kwh;precio_base_eur_kwh;multiplicador;precio_eur_kwh
2025-01-01T00:00:00+01:00;4000.0;182.79;1.3;237.627
2025-01-01T01:00:00+01:00;4000.0;183.19;1.3;238.147
2025-01-01T02:00:00+01:00;4000.0;188.74;1.3;245.362
2025-01-01T03:00:00+01:00;4000.0;187.77;1.3;244.101
2025-01-01T04:00:00+01:00;4000.0;180.19;1.3;234.247
2025-01-01T05:00:00+01:00;4000.0;172.3;1.3;223.99
2025-01-01T06:00:00+01:00;4000.0;171.28;1.3;222.664
2025-01-01T07:00:00+01:00;4000.0;167.9;1.3;218.27
2025-01-01T08:00:00+01:00;114083.333;165.98;1.295;214.936643
2025-01-01T09:00:00+01:00;2710416.667;423.15;1.1691;494.709128
2025-01-01T10:00:00+01:00;8065750.0;74.95;0.9095;68.1698
2025-01-01T11:00:00+01:00;10777666.667;49.75;0.7781;38.709986
2025-01-01T12:00:00+01:00;11348000.0;45.81;0.7504;34.377934
2025-01-01T13:00:00+01:00;11062250.0;51.57;0.7643;39.414765
2025-01-01T14:00:00+01:00;10667000.0;41.73;0.7835;32.693544
2025-01-01T15:00:00+01:00;9982083.333;29.12;0.8167;23.780911
2025-01-01T16:00:00+01:00;7405833.333;149.06;0.9415;140.343456
2025-01-01T17:00:00+01:00;2167666.667;272.86;1.1954;326.181671
2025-01-01T18:00:00+01:00;56333.333;191.18;1.2978;248.104652
2025-01-01T19:00:00+01:00;6083.333;191.57;1.3;249.041
2025-01-01T20:00:00+01:00;5000.0;194.05;1.3;252.265
2025-01-01T21:00:00+01:00;5333.333;195.87;1.3;254.631
2025-01-01T22:00:00+01:00;5000.0;193.01;1.3;250.913
2025-01-01T23:00:00+01:00;5000.0;181.25;1.3;235.625
2025-01-02T00:00:00+01:00;4916.667;168.49;1.3;219.037
2025-01-02T01:00:00+01:00;5000.0;156.03;1.3;202.839
2025-01-02T02:00:00+01:00;4500.0;141.68;1.3;184.184
2025-01-02T03:00:00+01:00;4000.0;142.58;1.3;185.354
2025-01-02T04:00:00+01:00;4000.0;142.57;1.3;185.341
2025-01-02T05:00:00+01:00;4000.0;140.71;1.3;182.923
2025-01-02T06:00:00+01:00;4000.0;161.73;1.3;210.249
2025-01-02T07:00:00+01:00;4583.333;168.18;1.3;218.634
2025-01-02T08:00:00+01:00;149250.0;201.94;1.2933;261.159014
2025-01-02T09:00:00+01:00;3463250.0;200.46;1.1326;227.045134
2025-01-02T10:00:00+01:00;9577666.667;241.16;0.8363;201.671083
2025-01-02T11:00:00+01:00;12274250.0;238.54;0.7056;168.302048
2025-01-02T12:00:00+01:00;12806000.0;235.88;0.6798;160.345719
2025-01-02T13:00:00+01:00;12819583.333;226.46;0.6791;153.793125
2025-01-02T14:00:00+01:00;13164750.0;167.45;0.6624;110.916873
2025-01-02T15:00:00+01:00;12723333.333;175.3;0.6838;119.867251
2025-01-02T16:00:00+01:00;9292416.667;186.57;0.8501;158.599496
2025-01-02T17:00:00+01:00;2687333.333;199.7;1.1702;233.694811
2025-01-02T18:00:00+01:00;84333.333;274.4;1.2964;355.731352
2025-01-02T19:00:00+01:00;30750.0;277.24;1.299;360.133165
2025-01-02T20:00:00+01:00;29333.333;278.06;1.2991;361.217433
2025-01-02T21:00:00+01:00;29000.0;274.91;1.2991;357.129827
2025-01-02T22:00:00+01:00;24333.333;203.8;1.2993;264.798412
2025-01-02T23:00:00+01:00;22000.0;190.99;1.2994;248.175912
2025-01-03T00:00:00+01:00;22000.0;154.55;1.2994;200.825107
2025-01-03T01:00:00+01:00;22000.0;141.34;1.2994;183.659791
2025-01-03T02:00:00+01:00;22000.0;134.85;1.2994;175.226566
2025-01-03T03:00:00+01:00;22000.0;131.54;1.2994;170.925491
2025-01-03T04:00:00+01:00;22333.333;126.83;1.2994;164.803181
2025-01-03T05:00:00+01:00;22000.0;129.22;1.2994;167.91084
2025-01-03T06:00:00+01:00;22000.0;137.41;1.2994;178.553077
2025-01-03T07:00:00+01:00;22000.0;156.63;1.2994;203.527898
2025-01-03T08:00:00+01:00;182166.667;193.6;1.2917;250.064421
2025-01-03T09:00:00+01:00;2964500.0;190.66;1.1568;220.554554
2025-01-03T10:00:00+01:00;7980083.333;251.38;0.9137;229.683217
2025-01-03T11:00:00+01:00;10571916.667;240.31;0.7881;189.379394
2025-01-03T12:00:00+01:00;11441416.667;227.16;0.7459;169.442766
2025-01-03T13:00:00+01:00;10975583.333;218.51;0.7685;167.924308
2025-01-03T14:00:00+01:00;10266166.667;152.51;0.8029;122.447629
2025-01-03T15:00:00+01:00;8913416.667;158.29;0.8685;137.467037
2025-01-03T16:00:00+01:00;6118333.333;176.3;1.0039;176.992595
2025-01-03T17:00:00+01:00;1559666.667;198.42;1.2249;243.04218
2025-01-03T18:00:00+01:00;53250.0;269.73;1.2979;350.083556
2025-01-03T19:00:00+01:00;4333.333;271.39;1.3;352.807
2025-01-03T20:00:00+01:00;4916.667;271.65;1.3;353.145
2025-01-03T21:00:00+01:00;4166.667;270.22;1.3;351.286
2025-01-03T22:00:00+01:00;4000.0;201.14;1.3;261.482
2025-01-03T23:00:00+01:00;4000.0;193.38;1.3;251.394
2025-01-04T00:00:00+01:00;4000.0;146.27;1.3;190.151
2025-01-04T01:00:00+01:00;4000.0;140.41;1.3;182.533
2025-01-04T02:00:00+01:00;4000.0;138.09;1.3;179.517
2025-01-04T03:00:00+01:00;4000.0;133.71;1.3;173.823
2025-01-04T04:00:00+01:00;4000.0;137.16;1.3;178.308
2025-01-04T05:00:00+01:00;4000.0;144.93;1.3;188.409
2025-01-04T06:00:00+01:00;4000.0;151.3;1.3;196.69
2025-01-04T07:00:00+01:00;4000.0;154.36;1.3;200.668
2025-01-04T08:00:00+01:00;114083.333;161.36;1.295;208.95395
2025-01-04T09:00:00+01:00;2081166.667;167.27;1.1996;200.658824
2025-01-04T10:00:00+01:00;6292583.333;150.93;0.9955;150.248187
2025-01-04T11:00:00+01:00;9471333.333;128.07;0.8414;107.759157
2025-01-04T12:00:00+01:00;10649500.0;107.62;0.7843;84.406627
2025-01-04T13:00:00+01:00;11088833.333;107.13;0.763;81.741036
2025-01-04T14:00:00+01:00;10539916.667;115.03;0.7896;90.829291
2025-01-04T15:00:00+01:00;9290083.333;127.85;0.8502;108.697236
2025-01-04T16:00:00+01:00;5554333.333;157.85;1.0313;162.78528
2025-01-04T17:00:00+01:00;1285166.667;174.48;1.2382;216.039836
2025-01-04T18:00:00+01:00;45666.667;177.56;1.2983;230.52104
2025-01-04T19:00:00+01:00;5333.333;169.41;1.3;220.233
2025-01-04T20:00:00+01:00;5000.0;158.93;1.3;206.609
2025-01-04T21:00:00+01:00;5000.0;154.39;1.3;200.707
2025-01-04T22:00:00+01:00;5000.0;150.45;1.3;195.585
2025-01-04T23:00:00+01:00;5000.0;143.83;1.3;186.979
2025-01-05T00:00:00+01:00;5000.0;162.02;1.3;210.626
2025-01-05T01:00:00+01:00;5000.0;131.5;1.3;170.95
2025-01-05T02:00:00+01:00;5000.0;127.95;1.3;166.335
2025-01-05T03:00:00+01:00;5000.0;110.13;1.3;143.169
2025-01-05T04:00:00+01:00;5000.0;107.35;1.3;139.555
2025-01-05T05:00:00+01:00;5000.0;98.8;1.3;128.44
2025-01-05T06:00:00+01:00;5000.0;94.34;1.3;122.642
2025-01-05T07:00:00+01:00;5000.0;103.38;1.3;134.394
2025-01-05T08:00:00+01:00;100250.0;107.73;1.2956;139.577743
2025-01-05T09:00:00+01:00;1574333.333;163.73;1.2242;200.434437
2025-01-05T10:00:00+01:00;4397416.667;114.5;1.0873;124.500601
2025-01-05T11:00:00+01:00;6056416.667;89.66;1.0069;90.281309
2025-01-05T12:00:00+01:00;7007666.667;84.88;0.9608;81.554608
2025-01-05T13:00:00+01:00;6655083.333;73.92;0.9779;72.287268
2025-01-05T14:00:00+01:00;5355916.667;67.87;1.0409;70.644723
2025-01-05T15:00:00+01:00;3754666.667;68.85;1.1185;77.008425
2025-01-05T16:00:00+01:00;1785500.0;102.96;1.2139;124.987401
2025-01-05T17:00:00+01:00;519000.0;106.52;1.2753;135.848015
2025-01-05T18:00:00+01:00;36500.0;109.12;1.2987;141.71584
2025-01-05T19:00:00+01:00;10000.0;107.45;1.3;139.685
2025-01-05T20:00:00+01:00;10000.0;107.74;1.3;140.062
2025-01-05T21:00:00+01:00;10000.0;115.39;1.3;150.007
2025-01-05T22:00:00+01:00;10000.0;103.82;1.3;134.966
2025-01-05T23:00:00+01:00;10000.0;85.27;1.3;110.851
2025-01-06T00:00:00+01:00;10000.0;68.86;1.3;89.518
2025-01-06T01:00:00+01:00;10000.0;66.4;1.3;86.32
2025-01-06T02:00:00+01:00;10000.0;64.84;1.3;84.292
2025-01-06T03:00:00+01:00;10000.0;64.11;1.3;83.343
2025-01-06T04:00:00+01:00;10000.0;65.35;1.3;84.955
2025-01-06T05:00:00+01:00;10000.0;68.88;1.3;89.544
2025-01-06T06:00:00+01:00;10000.0;74.0;1.3;96.2
2025-01-06T07:00:00+01:00;10000.0;102.68;1.3;133.484
2025-01-06T08:00:00+01:00;75583.333;120.79;1.2968;156.643029
2025-01-06T09:00:00+01:00;1347583.333;120.01;1.2352;148.232417
2025-01-06T10:00:00+01:00;4674750.0;95.09;1.0739;102.117068
2025-01-06T11:00:00+01:00;6846666.667;80.21;0.9686;77.693501
2025-01-06T12:00:00+01:00;8413500.0;72.3;0.8927;64.540876
2025-01-06T13:00:00+01:00;8810166.667;62.79;0.8735;54.844245
2025-01-06T14:00:00+01:00;8505500.0;51.55;0.8882;45.78786
2025-01-06T15:00:00+01:00;8411083.333;52.4;0.8928;46.782651
2025-01-06T16:00:00+01:00;6495250.0;92.05;0.9857;90.72994
2025-01-06T17:00:00+01:00;2336333.333;125.12;1.1872;148.547769
2025-01-06T18:00:00+01:00;89333.333;145.4;1.2962;188.460894
2025-01-06T19:00:00+01:00;11666.667;165.64;1.2999;215.318619
2025-01-06T20:00:00+01:00;11000.0;172.99;1.3;224.878615
