Date,WindSpeed,Sunshine,AirPressure,Radiation,RelativeAirHumidity,SystemProduction
2017-01-02 00:00:00,1.2,0.0,1013.6,-7.6,61,0.0
2017-01-02 01:00:00,1.1,0.0,1013.3,-7.3,65,0.0
2017-01-02 02:00:00,1.0,0.0,1013.3,-6.9,66,0.0
2017-01-02 03:00:00,0.7,0.0,1013.4,-6.8,66,0.0
2017-01-02 04:00:00,1.4,0.0,1013.2,-7.4,62,0.0
2017-01-02 05:00:00,0.6,0.0,1013.2,-7.0,65,0.0
2017-01-02 06:00:00,1.5,0.0,1012.8,-6.1,58,0.0
2017-01-02 07:00:00,1.1,0.0,1012.5,-6.1,64,0.0
2017-01-02 08:00:00,0.4,0.0,1012.2,-6.5,67,0.0
2017-01-02 09:00:00,1.3,0.0,1012.2,-5.8,67,0.0
2017-01-02 10:00:00,0.4,7.0,1012.3,6.4,68,0.0
2017-01-02 11:00:00,1.0,9.0,1012.3,40.1,67,248.6667
2017-01-02 12:00:00,1.0,60.0,1012.1,71.3,59,1087.3334
2017-01-02 13:00:00,1.5,60.0,1011.9,97.5,52,723.0
2017-01-02 14:00:00,1.1,60.0,1011.7,80.0,51,131.0
2017-01-02 15:00:00,1.6,60.0,1011.8,37.0,50,51.0
2017-01-02 16:00:00,2.2,17.0,1011.9,0.7,51,0.0
2017-01-02 17:00:00,1.4,0.0,1012.0,-6.1,54,0.0
2017-01-02 18:00:00,0.7,0.0,1012.2,-6.9,66,0.0
2017-01-02 19:00:00,1.5,0.0,1011.6,-6.8,69,0.0
2017-01-02 20:00:00,1.3,0.0,1011.6,-7.0,70,0.0
2017-01-02 21:00:00,1.4,0.0,1011.5,-6.9,74,0.0
2017-01-02 22:00:00,0.6,0.0,1011.2,-6.6,76,0.0
2017-01-02 23:00:00,0.7,0.0,1010.9,-6.1,76,0.0
2017-01-03 00:00:00,1.3,0.0,1009.9,-6.0,76,0.0
2017-01-03 01:00:00,1.9,0.0,1009.1,-6.0,79,0.0
2017-01-03 02:00:00,0.6,0.0,1008.4,-5.6,80,0.0
2017-01-03 03:00:00,0.7,0.0,1007.7,-5.8,81,0.0
2017-01-03 04:00:00,0.8,0.0,1006.9,-6.2,80,0.0
2017-01-03 05:00:00,1.6,0.0,1005.5,-6.9,81,0.0
2017-01-03 06:00:00,0.4,0.0,1004.5,-6.1,84,0.0
2017-01-03 07:00:00,0.1,0.0,1003.1,-6.1,82,0.0
2017-01-03 08:00:00,0.3,0.0,1001.4,-6.4,80,0.0
2017-01-03 09:00:00,0.5,0.0,1000.1,-5.5,81,0.0
2017-01-03 10:00:00,0.7,0.0,998.4,-1.3,82,0.0
2017-01-03 11:00:00,1.5,0.0,996.1,10.2,80,0.0
2017-01-03 12:00:00,0.7,0.0,993.8,39.3,78,592.1666
2017-01-03 13:00:00,1.2,38.0,991.4,59.8,79,638.8333
2017-01-03 14:00:00,0.5,60.0,989.3,85.5,79,253.8334
2017-01-03 15:00:00,1.2,20.0,988.3,29.5,78,33.3334
2017-01-03 16:00:00,0.8,4.0,987.7,-0.6,84,0.0
2017-01-03 17:00:00,1.3,0.0,987.0,-6.4,84,0.0
