algorithm,population_size,eta_c,eta_m,crossover_prob,hv_median,hv_mean,hv_std,hv_min,hv_max,elapsed_mean_s,hv_norm,hv_norm_std
NSGAII,100,29.858387684052293,21.608877759301365,0.9327155113866201,5945990.161819271,5926065.866845167,55002.42588772209,5850987.153626804,5981220.285089428,65.16224431991577,106.27141846946529,0.9830466683048525
NSGAII,100,28.788522579068726,18.971272456436683,0.9908611332363597,5896290.4439797085,5873256.486309883,71673.07317458397,5776254.8788977675,5947224.1360521745,69.5953889687856,105.38314597512829,1.2809976042742623
NSGAII,100,22.91476000113029,15.571845867814366,0.9597366330149193,5882711.478839713,5942114.1626976095,132243.53802246304,5818238.094549726,6125392.914703388,68.85763120651245,105.14045201709907,2.3635606495466948
NSGAII,100,9.585112746335845,12.606056073988443,0.8574269294896714,5871470.090049534,5832631.282306746,74999.8842011287,5727735.950800063,5898687.806070641,65.43713196118672,104.93953706436837,1.3404569907093375
NSGAII,100,22.70181444490114,5.514612357395061,0.9909729556485982,5868216.9195071,5908096.904858205,67185.19899809937,5853351.112253571,6002722.682813943,78.19164196650188,104.8813938386551,1.2007867829193921
NSGAII,100,15.798625466052894,12.280728504951048,0.8835558684167139,5864203.716530019,5857314.891689315,115904.15539097719,5712042.879964107,5995698.078573822,66.39315334955852,104.809666714766,2.0715303363596203
NSGAII,100,25.811066020010543,10.308477766956905,0.7545474901621302,5852757.424929409,5826458.375147644,136736.22123669228,5647397.846153458,5979219.854360066,64.22436594963074,104.60508957765217,2.443857421811117
NSGAII,100,27.157569870238085,15.467226604791527,0.9948485365202241,5832230.567849211,5807072.678337474,56352.29298461249,5729005.705412926,5859981.761750286,70.28553779919942,104.23821742360117,1.0071725560422635
NSGAII,100,11.115027304204851,17.004996430731133,0.8160069983881105,5810975.159308511,5712033.875211374,142648.23929827142,5510310.985270524,5814815.4810550865,64.76335191726685,103.85832402413462,2.5495216641530325
NSGAII,100,8.487346516301045,12.303616213380455,0.8099085529881075,5808288.447647454,5744376.516681495,90877.41290395313,5615857.074281385,5808984.028115647,64.06664737065633,103.81030499761951,1.624232686786597
NSGAII,100,16.4017496054259,24.62939903482534,0.7599021346475079,5772046.075311167,5772805.732153587,41633.772580970544,5722199.0553003885,5824172.0658492055,61.8836403687795,103.16255277939229,0.7441115689739268
NSGAII,100,28.30725854779468,18.339246737351736,0.9722994385847553,5769973.3069379525,5731576.8961166395,64549.81490289639,5640654.882712903,5784102.49869906,69.2124973932902,103.1255066307803,1.1536851230802176
NSGAII,100,24.65186927157314,21.204253136592087,0.9423677922942796,5760698.002784983,5736841.878360261,131844.6432760782,5564764.888781937,5885062.7435138635,68.95089332262675,102.95973109092131,2.356431288521085
NSGAII,100,6.452090304204987,26.654403644373378,0.8803345035229626,5714442.989565141,5724087.971672068,28964.25852867326,5694434.048348578,5763386.877102488,70.223397731781,102.13302507015445,0.5176720369508027
NSGAII,100,29.368502070704785,22.609138672054407,0.9432494380644868,5684871.763323877,5671018.558989528,24909.907245230585,5636041.613407305,5692142.300237399,67.65718205769856,101.6045048282745,0.4452094781272743
NSGAII,100,29.980984109518403,24.29160358142346,0.914512158834634,5676748.669321949,5707517.011287198,54162.042747641295,5662153.571934701,5783648.792604948,66.36266430219014,101.4593224955675,0.9680266790476075
NSGAII,100,19.966462104925917,8.900466011060914,0.7467983561008608,5673504.781161912,5767555.74534487,146341.8299310024,5654926.259196948,5974236.1956757475,62.58498787879944,101.40134517190205,2.6155364245383326
NSGAII,100,21.84660372351255,29.185912086634836,0.9135173692954934,5657609.273901743,5660351.661444761,89185.27550466164,5552519.469127803,5770926.241304735,65.03168988227844,101.11724814889033,1.5939894746765861
NSGAII,100,14.363502971184062,28.767857660247905,0.9195981825434215,5641705.091022325,5665245.351710045,96613.08982537211,5560458.518368874,5793572.445738937,69.6780776977539,100.83299606837959,1.7267452214079582
NSGAII,100,17.85586096034029,19.810364221551062,0.7139351238159993,5489438.673792619,5563365.774065055,129300.65639480812,5455487.764211833,5745170.884190711,60.147491137186684,98.11157075419554,2.310963151662015
NSGAII,100,25.928604213140762,20.53728777030809,0.8492076922317024,,,,,,,,
NSGAII,100,25.928604213140762,20.53728777030809,0.8492076922317024,,,,,,,,
SPEA2,100,22.70181444490114,5.514612357395061,0.9909729556485982,5973107.171733647,5886310.690257496,129596.87100749358,5703116.878899606,5982708.020139235,86.57914606730144,106.75607502452584,2.3162573324804767
SPEA2,100,13.044179440006618,9.273428322268748,0.9615462369688978,5932117.604688193,5921412.01248199,115011.21914684965,5775505.264047042,6056613.168710734,84.42664647102356,106.02347720417613,2.0555710766427833
SPEA2,100,22.378506218977,8.925548174791235,0.9424149727858023,5907973.1938432325,5947647.183304689,80470.06576973846,5875111.9519734755,6059856.404097357,84.49343427022298,105.59194928052104,1.4382243833152846
SPEA2,100,22.912950448786862,8.225394536357323,0.9476249203484909,5883188.315876364,5933199.875545184,100263.64448760716,5843299.909076265,6073111.401682923,88.37613860766093,105.14897442411363,1.7919908090389576
