timestep,demand_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
0,22.3215,0.18279,1.3489,0.155371,1.3489,1.3489,0.0,0.20958,15.1037,0.155371,15.1037,15.1037,0.0,2.346677,5.8689,1.072783,3.62904,73.71,honest,honest
1,14.6444,0.18319,0.0,0.155712,0.0,0.0,0.0,0.0,13.8428,0.155712,13.8428,13.8428,0.0,2.15549,0.8016,0.146853,2.302343,94.53,honest,honest
2,14.6646,0.18874,0.0,0.160429,0.0,0.0,0.0,0.0,12.1852,0.160429,12.1852,12.1852,0.0,1.954859,2.4794,0.467968,2.422828,83.09,honest,honest
3,14.6762,0.18777,0.0,0.159604,0.0,0.0,0.0,0.0,10.661,0.159604,10.661,10.661,0.0,1.701538,4.0152,0.753927,2.455465,72.64,honest,honest
4,14.8265,0.18019,0.0,0.153161,0.0,0.0,0.0,0.0,14.0967,0.153161,14.0967,14.0967,0.0,2.159065,0.7298,0.131494,2.290558,95.08,honest,honest
5,22.4553,0.1723,0.0,0.146455,0.0,0.0,0.0,0.0,13.018,0.146455,13.018,13.018,0.0,1.906551,9.4373,1.626053,3.532604,57.97,honest,honest
6,38.4123,0.17128,2.975,0.145588,2.975,2.975,0.0,0.433124,21.9501,0.145588,21.9501,21.9501,0.0,3.195671,13.4872,2.310093,5.938888,64.89,honest,honest
7,44.8175,0.1679,2.6177,0.142715,2.6177,2.6177,0.0,0.373585,29.2223,0.142715,29.2223,29.2223,0.0,4.170461,12.9775,2.178915,6.722961,71.04,honest,honest
8,41.6482,0.16598,12.257,0.141083,12.257,12.257,0.0,1.729254,34.6217,0.141083,29.3912,29.3912,0.0,4.146599,0.0,0.0,5.875853,100.0,honest,honest
9,34.1588,0.42315,4.6202,0.359678,4.6202,4.6202,0.0,1.661784,23.769,0.359678,23.769,23.769,0.0,8.549186,5.7696,2.441413,12.652384,83.11,honest,honest
