episode,solar_reward,wind_reward,total_reward,solar_q_mean,wind_q_mean
1,15301.791602604271,-19676.767500074944,-4374.975897470673,37.34351828670747,-28.43925687021667
2,15295.385592929571,-19694.284440820375,-4398.898847890803,37.697538804140684,-26.828439993286313
3,15139.50782298966,-19372.362641639113,-4232.854818649452,37.51449381396671,-26.806153345143795
4,15103.853984488376,-19498.503515895216,-4394.64953140684,37.08055099397555,-27.253021979220193
5,15165.436941313694,-19525.490626481365,-4360.053685167672,36.99343379020609,-27.097017904213175
6,15464.415556176878,-19773.272390995186,-4308.856834818307,37.39295373635854,-26.923679758801455
7,15260.047754002378,-19598.96977461019,-4338.92202060781,37.613660094652836,-26.886088277555587
8,15229.01422513538,-19580.86542792066,-4351.851202785281,37.32326947198936,-27.509784148733043
9,15070.277262406693,-19420.322548044333,-4350.04528563764,37.247643253177586,-27.49320266713723
10,15044.83661834963,-19363.360453013276,-4318.523834663647,36.75399265286268,-26.65159663961017
11,15304.199992627782,-19614.61125417231,-4310.4112615445265,36.963097767319496,-27.82468776862714
12,15405.867596739077,-19866.293734291434,-4460.4261375523565,36.73232292941356,-27.967311764694895
13,15357.101820765825,-19748.192189502195,-4391.09036873637,36.80004072640235,-26.992102118947983
14,15404.781177471945,-19742.88031646061,-4338.099138988666,37.02215572524343,-27.600313231975225
15,15296.370191414097,-19755.48908767497,-4459.118896260874,36.33148450288632,-27.496516511253905
16,15210.442424231052,-19562.606376020165,-4352.163951789113,36.95649722118774,-28.54198321643615
17,15469.490190428349,-19780.755754680744,-4311.265564252395,37.13535474533274,-28.066985937832595
18,15217.067007394524,-19592.851567496567,-4375.7845601020435,36.3720247518785,-27.44849584984334
19,15050.901769148944,-19339.93899355455,-4289.037224405607,36.602853575970265,-28.670112375057116
20,15218.48510841132,-19510.356297661558,-4291.871189250238,36.45961941255656,-27.957376643878252
21,15326.674708138902,-19765.591572906633,-4438.916864767731,37.03225590395472,-27.803688879913036
22,15306.72595602177,-19653.572771655163,-4346.846815633393,36.68977367315705,-27.621130404610607
23,15076.258995093656,-19542.47681454792,-4466.217819454265,36.556084487871836,-27.048516100672664
24,15412.944349311172,-19754.005393680054,-4341.061044368882,37.14496064562131,-28.434445365591227
25,15289.168437199787,-19703.801877894773,-4414.633440694986,36.52876473921406,-27.923436331502142
26,15391.83059098913,-19705.161122395362,-4313.330531406233,35.718199834596604,-27.850164258763606
27,15524.316930356945,-19813.201337465707,-4288.884407108762,36.63536993657475,-27.60051929384938
28,15368.557763458233,-19725.328453126363,-4356.77068966813,37.106349502511904,-28.701855110321645
29,15216.711073684965,-19596.077780145377,-4379.366706460412,36.625077834174355,-28.669703662137277
30,15085.15833814423,-19344.226318984955,-4259.067980840724,36.44082195201162,-27.866910493012387
31,15199.667442998576,-19464.130782547712,-4264.463339549136,36.16781334505755,-27.721718210963427
32,15207.590632850683,-19574.230562352168,-4366.639929501485,36.4829460757905,-28.052812090015138
33,15499.603780512205,-19805.465390269834,-4305.861609757629,37.077993091402455,-29.063169892116704
34,15398.219649215413,-19777.41952065679,-4379.199871441377,36.58146474001646,-27.557328220412998
35,15516.41928409727,-19865.136346626296,-4348.7170625290255,36.987248524472314,-28.653156557834468
36,15253.442968945968,-19558.435392026793,-4304.992423080825,36.843571658958616,-27.644757662961975
37,15081.029799923761,-19468.753854261297,-4387.724054337536,35.86828070722772,-27.95918689517252
38,15500.395606420854,-19847.98088739268,-4347.585280971827,37.172959216786666,-28.749742803314966
39,15570.757484288222,-19781.013223438247,-4210.255739150025,36.304375915908366,-28.84755761119275
40,15452.466952124523,-19839.409676540847,-4386.9427244163235,36.532854897913204,-28.721888764931666
41,15414.285823933857,-19768.493870017985,-4354.208046084128,36.05052061796233,-28.764798869550393
42,15290.78113370224,-19701.186386815807,-4410.405253113568,36.66501807560085,-29.548233625872808
43,15489.313253747885,-19806.61738369734,-4317.304129949454,36.6841247077689,-29.831598813922724
44,14955.305025495265,-19299.608531331953,-4344.303505836688,36.384310998174506,-28.99814078091586
45,15043.018001920964,-19560.354894738342,-4517.336892817379,35.459360345109864,-29.58255089605161
46,15383.322511808603,-19840.024424594005,-4456.701912785402,35.62084641707146,-29.44196776219006
47,15465.277948906003,-19747.33534326939,-4282.057394363388,35.972080024555254,-29.334205264122968
48,15289.32704641538,-19575.898981256858,-4286.571934841479,35.69202382265113,-29.363932821413528
49,15372.318637876302,-19825.310512437092,-4452.99187456079,36.17129958506706,-29.385948461637586
50,15375.34263792617,-19729.32371430162,-4353.98107637545,37.029807783307085,-30.006951482681487
