episode,solar_reward,wind_reward,total_reward,solar_q_mean,wind_q_mean,solar_honest,solar_hide,solar_deception,wind_honest,wind_hide,wind_deception
1,31338.770198067257,-4631.861295577901,26706.908902489355,33.76924507297315,1.1342820997443137,3867,2455,2437,3219,2776,2764
2,30639.199746056365,-3857.0727094858375,26782.127036570528,45.33251799955964,2.065019672504522,3090,3169,2500,3308,3012,2439
3,30906.64466351775,-4183.595384415608,26723.04927910214,51.87179059077836,1.146835500539557,3176,2844,2739,2942,2952,2865
4,30889.280327962726,-4178.094264662615,26711.186063300112,55.68647627260205,0.7307433638575054,2934,2948,2877,3601,2670,2488
5,31093.398149340414,-4481.080641168405,26612.317508172007,57.92163294652162,-0.4729391746616724,3138,2944,2677,2690,3211,2858
6,30447.16311487541,-3677.374197225313,26769.788917650098,58.96733521598308,0.5453493716590874,2956,3155,2648,3531,2593,2635
7,31356.956329210232,-4681.504589133926,26675.451740076307,59.927958436602005,0.1775017100202278,2658,3407,2694,3094,2816,2849
8,30738.53560368155,-3971.9815156191135,26766.554088062436,61.049164881705806,-0.46694174973506214,2727,3211,2821,2883,3278,2598
9,30768.880354342116,-4131.524073043658,26637.35628129846,61.79385830652137,-0.22672398130299598,3663,2452,2644,2686,3107,2966
10,30511.713502401046,-3772.99462033359,26738.718882067456,62.1994873379364,-0.1002078844846421,3011,3214,2534,2766,2967,3026
11,30958.327052472687,-4252.401260891484,26705.925791581205,62.44310452953455,-0.7487303831055699,3062,3016,2681,2639,3122,2998
12,30625.905269588355,-3964.550927274443,26661.354342313913,62.3675661293839,-0.48837831329618203,3279,3021,2459,3103,3013,2643
13,31040.492510584405,-4295.790616391796,26744.701894192607,63.06573943697882,-0.9655151808280328,2818,3080,2861,3026,3310,2423
14,30883.56037129178,-4080.2076352159993,26803.35273607578,63.257972567765,-0.9740138292093584,3222,3025,2512,3021,2517,3221
15,30820.95890328066,-4005.9355163426985,26815.023386937963,63.464688713307915,-0.9614104427049935,3215,2362,3182,3128,2605,3026
16,30904.334953146248,-4156.441538319975,26747.893414826274,63.97884535217841,-1.5381084797583753,3598,2915,2246,2765,3090,2904
17,30974.366201424633,-4294.6426815883415,26679.72351983629,64.02768886345356,-1.5234284268918519,2972,3112,2675,3089,2673,2997
18,30931.195111272387,-4207.963956294911,26723.231154977475,64.53871374705724,-1.4251143457508892,3433,2610,2716,2958,2979,2822
19,30797.56380675831,-4133.379732405613,26664.184074352695,65.20421882134448,-1.2508406764074318,2765,3364,2630,2959,2726,3074
20,31202.450951721912,-4452.951230080039,26749.499721641874,64.60608809814535,-1.4197112789150452,2765,2893,3101,2899,2955,2905
21,30356.459576411078,-3633.7072353195763,26722.752341091502,64.26528495954635,-1.1358390483709981,2558,3021,3180,3242,3143,2374
