timestep,demand_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct
0,22.3215,0.18279,1.7536,0.146232,1.7536,1.3489,0.4047,0.197252,10.5726,0.173651,10.5726,10.5726,0.0,1.835943,10.4,1.901023,3.934218,53.41
1,14.6444,0.18319,0.0,0.146552,0.0,0.0,0.0,0.0,9.69,0.17403,9.69,9.69,0.0,1.686351,4.9544,0.907605,2.593955,66.17
2,14.6646,0.18874,0.0,0.160429,0.0,0.0,0.0,0.0,8.5297,0.179303,8.5297,8.5297,0.0,1.529401,6.1349,1.157907,2.687308,58.17
3,14.6762,0.18777,0.0,0.178381,0.0,0.0,0.0,0.0,7.4627,0.178381,7.4627,7.4627,0.0,1.331204,7.2135,1.354472,2.685676,50.85
4,14.8265,0.18019,0.0,0.144152,0.0,0.0,0.0,0.0,9.8677,0.17118,9.8677,9.8677,0.0,1.689153,4.9588,0.893517,2.58267,66.55
5,22.4553,0.1723,0.0,0.146455,0.0,0.0,0.0,0.0,9.1126,0.163685,9.1126,9.1126,0.0,1.491596,13.3427,2.298954,3.79055,40.58
6,38.4123,0.17128,2.975,0.145588,2.975,2.975,0.0,0.433124,28.5351,0.137024,28.5351,21.9501,6.585,3.007691,13.4872,2.310093,5.750908,64.89
7,44.8175,0.1679,2.6177,0.142715,2.6177,2.6177,0.0,0.373585,37.989,0.13432,37.989,29.2223,8.7667,3.925139,12.9775,2.178915,6.47764,71.04
8,41.6482,0.16598,12.257,0.141083,12.257,12.257,0.0,1.729254,24.2352,0.157681,24.2352,24.2352,0.0,3.821431,5.156,0.855786,6.406471,87.62
9,34.1588,0.42315,3.2342,0.401993,3.2342,3.2342,0.0,1.300126,23.769,0.359678,23.769,23.769,0.0,8.549186,7.1556,3.027899,12.877211,79.05
10,41.6652,0.07495,35.1806,0.05996,35.1806,27.062,8.1186,1.622638,20.7024,0.063708,6.4846,6.4846,0.0,0.413121,8.1186,0.608486,2.644244,80.51
11,42.43,0.04975,247.9951,0.042287,42.43,42.43,0.0,1.794237,18.8224,0.042287,0.0,0.0,0.0,0.0,0.0,0.0,1.794237,100.0
12,41.7093,0.04581,979.9141,0.038938,41.7093,41.7093,0.0,1.624077,20.259,0.038938,0.0,0.0,0.0,0.0,0.0,0.0,1.624077,100.0
