episode,solar_reward,wind_reward,total_reward,solar_q_mean,wind_q_mean,battery_soc_mean,grid_purchased_kwh,solar_honest,solar_hide,solar_deception,wind_honest,wind_hide,wind_deception
1,-36446.87409862731,19125.99714116327,-17320.876957464043,6.001851642439688,9.344360483551844,0.5729459406945501,116385.77853021261,2923,2911,2925,2865,2917,2977
2,-32341.509104058667,19081.42099715303,-13260.088106905638,6.5529388660077394,9.574519906812167,0.5743544283547178,116553.42692260467,2940,2905,2914,2912,2855,2992
3,-31621.870417665417,19541.30899452112,-12080.561423144296,6.491732934609664,9.67700490363202,0.5732905910477383,116403.0104422491,2934,2923,2902,2975,2886,2898
4,-32338.516413767917,19709.051140265597,-12629.46527350232,6.390860632774117,10.390243642095394,0.5720629828737291,116230.4493112419,2908,2887,2964,2970,2901,2888
5,-28684.16564931738,19087.572509828256,-9596.593139489123,6.348905103778067,9.8828752392447,0.5731680414151389,116329.31854244272,2970,2929,2860,2937,2883,2939
6,-29993.340261443904,19074.167351896325,-10919.172909547578,6.7323789542536,10.959391416012433,0.5727196497813126,116324.67966047523,2875,2983,2901,2884,2933,2942
7,-30152.565818846404,19358.52186072243,-10794.043958123973,6.76863344742055,10.020381085527518,0.5725694355656114,116245.28669529792,2954,2957,2848,2945,2902,2912
8,-30615.118275220684,19099.40728981467,-11515.710985406015,6.364958928408115,10.101673953023544,0.5723109607511991,116198.20443064548,2988,2880,2891,2901,2908,2950
9,-33964.14282302411,19360.61182786471,-14603.530995159395,6.227508987824637,10.004392547709415,0.5733937713323665,116378.98585464344,2861,2939,2959,2915,2911,2933
10,-29832.13404044105,19245.35721648962,-10586.77682395143,6.449010532694129,9.599936277459165,0.5727907644035168,116313.52036841614,2916,2887,2956,2970,2930,2859
11,-34264.85443010896,18977.90637920465,-15286.948050904306,6.5657486058455445,9.685067748879725,0.5725287831173175,116247.01392348448,2944,2909,2906,2931,2939,2889
12,-33391.81689812753,19313.185939281164,-14078.630958846366,6.570157992313058,10.253836242775492,0.5725664275724195,116401.90827486463,3055,2870,2834,2952,2853,2954
13,-39530.53016580949,19661.90000830014,-19868.63015750935,6.198134482339451,10.10529048947872,0.5728121838014087,116092.29062863202,2881,2907,2971,2955,2913,2891
14,-32464.625357047265,19425.011596053675,-13039.61376099359,6.110045064232986,10.386723007905152,0.572556461383562,116443.32176127871,2891,2959,2909,2896,2964,2899
15,-33680.31936497326,19669.30930295406,-14011.010062019195,6.330761411379372,10.626991343955307,0.5726993657073646,116572.29276890897,3037,2890,2832,2935,2897,2927
16,-31031.707808851108,19750.697814304764,-11281.009994546344,6.443956436350593,10.223322367382707,0.5738557586560972,116485.57792516545,2898,2984,2877,2929,2923,2907
17,-31581.156235759394,19398.455481770277,-12182.700753989116,6.26181954418481,9.890508351817326,0.5724857136281758,116485.86303456286,2901,2951,2907,2964,2926,2869
18,-27416.93260390669,19225.384108490387,-8191.548495416304,5.76267078766744,10.221476330274697,0.5717275422287559,116153.57036573657,2969,2953,2837,2935,2896,2928
19,-30385.322730921453,19738.653915865463,-10646.66881505599,6.287687437940474,10.48070412396834,0.5739203400217654,116376.9650353894,2957,2994,2808,3028,2907,2824
20,-30985.803904401342,19859.931570073775,-11125.872334327567,6.810460474887219,10.180005150148173,0.5730301369529185,116612.27230195815,2961,2930,2868,2962,2958,2839
21,-33024.61557084346,19940.540683427924,-13084.074887415536,6.235508238601123,10.330483960031794,0.5742543598078202,116316.75001043918,3012,2936,2811,3003,2911,2845
22,-31368.945105483657,19630.39707681686,-11738.548028666799,6.451430643148888,10.203880903235358,0.5728153316933232,116372.44085536619,2912,2976,2871,3012,2854,2893
23,-32577.64507506733,19573.93175607559,-13003.713318991737,6.035491206159503,10.202870867367423,0.5721282054248957,116381.26944901745,3066,2945,2748,2942,2963,2854
24,-29169.65193435399,19930.648473824825,-9239.003460529166,6.5947356639453725,9.866825809353443,0.5726200580518994,116365.59686215065,2948,2925,2886,3060,2793,2906
25,-28846.423608218625,19453.510913301685,-9392.91269491694,6.04790373061562,9.925558327946241,0.5733088848495402,116665.54340479521,2979,2982,2798,2938,2881,2940
26,-34995.904001663934,19441.690431421623,-15554.213570242311,6.369572346729412,10.39529787519534,0.5739265719825555,116482.7882755581,2870,2979,2910,2924,2880,2955
27,-31167.80500002314,19640.882734751925,-11526.922265271216,6.180275435450608,10.270516478948952,0.5729774633882508,116246.71463924745,2928,2921,2910,2924,2870,2965
28,-30831.119630195113,19475.939150510778,-11355.180479684335,6.090084397765797,10.324857893068186,0.5729263086979928,116298.66736857331,2962,2923,2874,2995,2853,2911
29,-27516.15608917525,19688.89478665553,-7827.261302519717,6.538659341897221,9.993355034486179,0.5729852923914304,116389.04466702424,2980,2995,2784,2902,2942,2915
30,-27302.375599484018,19976.408479855745,-7325.9671196282725,6.066665751690659,10.172029131228989,0.5722963308630199,116458.71934463069,2982,2940,2837,3077,2838,2844
31,-28749.244786033745,20050.135626560674,-8699.109159473071,6.222271134309072,9.998863972018274,0.574387412574614,116520.36743539396,2994,2900,2865,2952,3040,2767
32,-34126.02578263037,19727.93842618818,-14398.087356442193,6.043851591875682,9.941448150405787,0.5742045966884797,116506.8809553128,2961,2952,2846,3014,2911,2834
33,-26888.802351658913,20087.258309529174,-6801.544042129739,6.4956836436332495,10.025157587885275,0.5727866043826676,116609.22583422401,2998,2987,2774,3028,2950,2781
34,-30212.03966394976,19980.89869998859,-10231.14096396117,6.037032324812945,10.271696594939009,0.5728098930510329,116332.02093728418,2973,2927,2859,2987,2924,2848
35,-28025.70261097007,19942.497451699157,-8083.205159270914,6.652881372620634,10.085541217063207,0.5725587995483492,116421.05888570541,2961,2963,2835,2973,2894,2892
36,-28517.88699930994,19648.08446129785,-8869.802538012089,5.803790880219062,9.839987262724957,0.5740738164591114,116341.69740366875,2976,2957,2826,2953,2975,2831
37,-25806.292111730887,19319.184546527325,-6487.1075652035615,5.70619771456377,9.823935125221444,0.5736432991845091,116364.82876778308,2970,2907,2882,2955,2925,2879
38,-27953.63402497796,19234.578505740552,-8719.055519237409,6.425285303384269,9.697651529219586,0.5736036121956354,116458.20913653397,3012,2964,2783,3011,2927,2821
39,-34090.286001132954,19807.486390944407,-14282.799610188547,6.118205153841379,10.221480226640502,0.5730726663507841,116274.91326411336,2914,2979,2866,3061,2867,2831
40,-30369.954265010292,19587.302182200827,-10782.652082809465,5.888478542419894,9.693495848152288,0.5729879062932631,116349.18928566366,3004,2863,2892,3003,2905,2851
41,-31584.04486598534,19432.095228209895,-12151.949637775444,6.220993043928077,9.42542879525436,0.5735101722827798,116366.48118887095,3017,2937,2805,3004,2906,2849
42,-29766.095025118626,19588.03299001318,-10178.062035105446,6.12800857289461,9.988859876086176,0.5734545758652725,116369.03060446042,2989,2997,2773,3003,2911,2845
43,-30337.27849711471,19607.07421842776,-10730.20427868695,6.7164512132046665,10.225816203685577,0.5734619114031628,116438.92606210007,2951,2977,2831,2988,2977,2794
44,-29489.790843885174,19615.124065075666,-9874.666778809507,6.313307597688521,9.562589930874406,0.5731670465030753,116406.81470279215,2967,2926,2866,3005,2963,2791
45,-28749.771793288688,19797.27962810614,-8952.49216518255,6.1858997254438925,9.86229800775213,0.5728115952560374,116269.86175085651,2956,3007,2796,2996,2913,2850
46,-27610.35257619668,19911.673668508658,-7698.678907688023,5.898548806462247,9.955396425708164,0.5735870043755136,116449.88540501789,3034,2984,2741,3053,2917,2789
47,-30122.576279249482,19765.12053894883,-10357.455740300651,6.1120413237746885,10.00251216452639,0.5738140256910996,116692.53294883351,2933,3041,2785,2972,2872,2915
48,-27915.741872638893,19979.904007446952,-7935.837865191941,6.475365150188637,9.88392782578773,0.5740241000801525,116535.30323561969,2922,2960,2877,2932,2953,2874
49,-28198.550441051066,19946.70528142347,-8251.845159627595,6.487498892593638,9.873423695923046,0.5724580915942955,116268.1923843501,3011,2940,2808,3039,2955,2765
50,-33914.99908985254,19610.328477720956,-14304.670612131587,6.034127673299889,10.105165633114083,0.5731512541024066,116392.72142542667,2931,2921,2907,3081,2884,2794
51,-29111.818573250614,19600.043670365947,-9511.774902884667,6.240590966275298,10.189295625868635,0.5728135838261866,116222.21810069279,2961,2989,2809,2997,2864,2898
52,-29207.050306090732,19564.353086283238,-9642.697219807495,6.340527224753703,9.65085380194738,0.5729311826607802,116518.98735909659,3022,2901,2836,2964,2904,2891
53,-33458.70426380383,19662.939950102253,-13795.76431370158,6.4236682771032,9.462174918358876,0.5732108347360483,116265.3689318918,3052,2931,2776,3028,2925,2806
54,-26801.44038741156,19790.685219380448,-7010.755168031112,5.9702123508678975,10.085733161804859,0.5719709977316227,116355.90018014799,3088,2940,2731,2985,2968,2806
