episode,solar_reward,wind_reward,total_reward,solar_q_mean,wind_q_mean,battery_soc_mean,grid_purchased_kwh,solar_honest,solar_hide,solar_deception,wind_honest,wind_hide,wind_deception
1,-141535.61684267982,-141535.61684267982,-283071.23368535965,3.505733128075813,-10.886460268867479,0.055051631982295214,161948.4448251787,2912,2956,2891,2906,2971,2882
2,-144715.9684041838,-144715.9684041838,-289431.9368083676,4.406789976851157,-11.589516494286189,0.055083431024337694,161789.80687685753,2925,2925,2909,2945,2926,2888
3,-149071.98263731165,-149071.98263731165,-298143.9652746233,4.660684566786136,-14.943268347995573,0.05502004723087212,162073.0397346559,2910,2877,2972,2922,2921,2916
4,-142170.12841058185,-142170.12841058185,-284340.2568211637,4.245942315151162,-13.469128779561592,0.05497377608571067,162161.5335563936,2948,2949,2862,2832,3004,2923
5,-148201.28916447374,-148201.28916447374,-296402.5783289475,5.862889219644991,-14.125945599310558,0.05506871668515379,162198.42475314057,2911,2965,2883,2855,2957,2947
6,-153289.306883206,-153289.306883206,-306578.613766412,5.199805460506444,-15.159130275555762,0.05510607834211498,162426.72115554594,2948,2936,2875,2902,2884,2973
7,-147288.4430301814,-147288.4430301814,-294576.8860603628,5.4714740973782305,-14.429975109395384,0.055019460229305324,161995.8147678646,2917,3033,2809,2884,2990,2885
8,-144383.3136190381,-144383.3136190381,-288766.6272380762,5.965802454315433,-12.79719434716003,0.05496961727795075,162132.31167406586,2976,2932,2851,2953,2898,2908
9,-137046.3446984601,-137046.3446984601,-274092.6893969202,5.2839460152229,-14.312883007392308,0.0548512498184943,162077.68219771617,2972,2956,2831,2984,2884,2891
10,-151273.25220590207,-151273.25220590207,-302546.50441180414,4.895314424606285,-14.992358686492508,0.05507977932393734,161627.41548815882,2980,2959,2820,2913,2949,2897
11,-142443.10277534777,-142443.10277534777,-284886.20555069554,5.9184896530759525,-13.70277705161555,0.054924774111914314,162193.967635025,2942,2877,2940,2911,2935,2913
12,-148735.8960235566,-148735.8960235566,-297471.7920471132,4.861850541514893,-15.83916968863941,0.0550480568910351,162204.46109445396,2976,2930,2853,2894,2950,2915
13,-133863.07322174608,-133863.07322174608,-267726.14644349215,5.1515114373007815,-14.338132941914713,0.05514879186174266,162186.29251423368,2905,2918,2936,2871,2893,2995
14,-149868.68745183313,-149868.68745183313,-299737.37490366626,4.703696173347117,-13.713298542847879,0.055077910388398134,162416.26706420493,2963,2877,2919,2828,2936,2995
15,-144804.84919487816,-144804.84919487816,-289609.6983897563,4.359301832512671,-12.390174275162433,0.05502438497859106,162180.36790050575,2863,2936,2960,2893,2879,2987
16,-147308.7532533362,-147308.7532533362,-294617.5065066724,5.186881592718621,-14.193873121975795,0.05503125720664677,162203.69144225577,2948,2880,2931,2956,2899,2904
17,-146172.8681033669,-146172.8681033669,-292345.7362067338,3.921823063787091,-15.220965267551312,0.055086199411254096,162531.99120427007,2933,2959,2867,2960,2890,2909
18,-136610.9305432029,-136610.9305432029,-273221.8610864058,5.8218804641472595,-15.062321589039028,0.055049037658053315,162154.57744179966,2909,2970,2880,2882,2946,2931
19,-135069.67806872298,-135069.67806872298,-270139.35613744595,3.4176750089719627,-14.508009498017653,0.05520531192870532,162492.45858724532,2962,2997,2800,2853,2954,2952
20,-131359.6872190408,-131359.6872190408,-262719.3744380816,3.810285358218966,-12.048938017375262,0.055101558815716316,161891.04393620486,2975,2895,2889,2948,2896,2915
