hour,demand,solar_prod,wind_prod,battery_soc,effective_demand,solar_strategy,wind_strategy,grid_purchased
0,22.32153712,1.348889,15.10373333333334,0.4691109748070176,16.45262233333334,honest,honest,0.0
1,14.64444443,0.0,13.84279999999994,0.46489179359649097,13.84279999999994,honest,honest,0.0
2,14.66463229,0.0,12.185233333333311,0.4518423254035084,12.185233333333311,honest,honest,0.0
3,14.67616229,0.0,10.660966666666688,0.4307097168596489,10.660966666666688,honest,honest,0.0
4,14.82645007,0.0,14.09666666666666,0.4268687515789471,14.09666666666666,honest,honest,0.0
5,22.45533704,0.0,13.018033333333388,0.37719873207017546,13.018033333333388,honest,honest,0.0
6,38.4123316,2.975,21.95006666666665,0.30621312715789467,24.925066666666652,deception,hide_information,0.0
7,44.81745964,2.617744666666667,29.22233333333333,0.2379111185263157,31.840078,deception,hide_information,0.0
8,41.64815833,12.256987999999998,34.62166666666663,0.2627559761254822,41.64815833,deception,hide_information,0.0
9,34.15881629,4.620233,23.768966666666635,0.23238957284478026,28.389199666666634,honest,honest,0.0
10,41.66515522,27.061989333333337,20.70236666666673,0.26136077654978057,41.66515522,honest,hide_information,0.0
11,42.42998564,247.99505166666708,18.822399999999963,0.49886077654978056,42.42998564,deception,hide_information,0.0
12,41.7092551,979.9141453333344,20.25899999999996,0.7363607765497806,41.7092551,honest,honest,0.0
13,34.18865388,676.7025456666667,14.979333333333331,0.9738607765497806,34.18865388,honest,honest,0.0
14,34.19450022,207.5242133333333,22.61663333333341,1.0,34.19450022,honest,honest,0.0
15,34.18642183,120.45431099999983,23.87530000000008,1.0,34.18642183,honest,honest,0.0
16,43.74398917,34.851356,25.928699999999925,1.0,43.74398917,honest,hide_information,0.0
17,45.86426911,60.91093333333334,24.659533333333307,1.0,45.86426911,honest,honest,0.0
18,45.86706421,5.385166666666667,28.4502333333333,0.9366754515263156,33.835399999999964,hide_information,honest,0.0
19,38.50820589,6.144466666666667,27.82399999999993,0.9127820871929819,33.9684666666666,honest,hide_information,0.0
20,38.48708445,0.6566333333333334,22.41330000000004,0.8316391865789471,23.06993333333337,honest,hide_information,0.0
21,38.41358433,0.01,24.79566666666674,0.7600185672982458,24.805666666666742,honest,hide_information,0.0
22,38.30210841,0.0,27.68329999999995,0.7041301019824561,27.68329999999995,honest,hide_information,0.0
23,39.10710387,0.7995,34.83096666666661,0.6858320114385962,35.630466666666614,deception,hide_information,0.0
24,22.34240087,0.0,20.96200000000008,0.6785667437017545,20.96200000000008,honest,honest,0.0
25,14.64938121,0.0,19.790066666666657,0.7029849996209211,14.64938121,honest,honest,0.0
26,14.67264305,0.0,15.39970000000002,0.7064385201334212,14.67264305,honest,honest,0.0
27,14.68419222,0.0,11.949133333333323,0.6920434733614913,11.949133333333323,honest,honest,0.0
28,14.83422553,0.0,10.831866666666713,0.6709784267123687,10.831866666666713,honest,honest,0.0
29,22.45449367,0.1109999999999999,10.46679999999998,0.608469512659737,10.57779999999998,honest,honest,0.0
