hour,demand,solar_prod,wind_prod,battery_soc,effective_demand,solar_strategy,wind_strategy,grid_purchased
0,55.8038428,1.348889,15.10373333333334,0.28742380804649126,5.803842799999998,hide_information,honest,0.0
1,36.611111075,0.0,13.84279999999994,0.1604870497570173,0.0,hide_information,honest,0.0
2,36.661580725,0.0,12.185233333333311,0.05000000000000002,15.669041271166716,hide_information,honest,3.4838079378334044
3,36.690405725000005,0.0,10.660966666666688,0.05,36.690405725000005,deception,honest,26.029439058333317
4,37.066125174999996,0.0,14.09666666666666,0.05,37.066125174999996,deception,honest,22.969458508333336
5,56.1383426,0.0,13.018033333333388,0.05,56.1383426,hide_information,honest,43.12030926666661
6,96.03082900000001,2.975,21.95006666666665,0.05423937500000001,96.03082900000001,hide_information,honest,71.99826233333336
7,112.04364910000001,2.617744666666667,29.22233333333333,0.05373028615,111.23816785000001,hide_information,honest,80.18341325000002
8,104.120395825,12.256987999999998,34.62166666666663,0.05,103.4116414565,honest,honest,56.53298678983338
9,85.397040725,4.620233,23.768966666666635,0.05,85.397040725,honest,honest,57.00784105833336
10,104.16288805,27.061989333333337,20.70236666666673,0.08856333479999999,104.16288805,hide_information,deception,64.51712884999995
11,106.07496409999999,247.99505166666708,18.822399999999963,0.2875,98.747930488,honest,deception,5.646720000000002
12,104.27313775,979.9141453333344,20.25899999999996,0.2875,59.148137750000004,honest,deception,6.077699999999993
13,85.4716347,676.7025456666667,14.979333333333331,0.2875,40.346634699999996,honest,honest,0.0
14,85.48625055000001,207.5242133333333,22.61663333333341,0.2875,40.36125055000001,honest,honest,0.0
15,85.466054575,120.45431099999983,23.87530000000008,0.2875,40.341054575,honest,honest,0.0
16,109.359972925,34.851356,25.928699999999925,0.05,64.234972925,honest,honest,3.454916925000063
17,114.66067277500001,60.91093333333334,24.659533333333307,0.05,114.66067277500001,honest,honest,29.090206108333362
18,114.667660525,5.385166666666667,28.4502333333333,0.0576738625,114.667660525,hide_information,honest,82.44781052500004
19,96.270514725,6.144466666666667,27.82399999999993,0.058755865000000025,94.81248085,hide_information,honest,62.687354183333404
20,96.217711125,0.6566333333333334,22.41330000000004,0.0509357025,94.55409677499999,hide_information,honest,71.68115344166662
21,96.033960825,0.01,24.79566666666674,0.05001425,95.85617735,hide_information,honest,71.05351068333326
22,95.75527102500001,0.0,27.68329999999995,0.05,95.75256352500001,hide_information,honest,68.06926352500007
23,97.76775967500001,0.7995,34.83096666666661,0.05113928750000002,97.76775967500001,hide_information,honest,62.3771430083334
24,55.856002175,0.0,20.96200000000008,0.05,55.63953755,hide_information,honest,34.67753754999992
25,36.623453024999996,0.0,19.790066666666657,0.05,36.623453024999996,deception,honest,16.83338635833334
26,36.681607625,0.0,15.39970000000002,0.05,36.681607625,deception,honest,21.281907624999977
27,36.71048055,0.0,11.949133333333323,0.05,36.71048055,deception,honest,24.761347216666678
28,37.085563825,0.0,10.831866666666713,0.05,37.085563825,deception,honest,26.25369715833329
29,56.136234175000006,0.1109999999999999,10.46679999999998,0.050158175000000006,56.136234175000006,hide_information,honest,45.59173417500003
30,96.0505652,0.7482219999999999,14.58020000000002,0.05106621635,96.02051195,hide_information,honest,80.91655654999998
31,112.0990349,0.0,12.95730000000005,0.05,111.8964537935,hide_information,honest,98.93915379349995
32,104.170873825,1.824566666666667,15.442633333333358,0.05,104.170873825,honest,honest,86.90367382499997
33,85.456781425,5.790533333333332,17.783966666666675,0.05,85.456781425,honest,honest,61.882281424999995
34,104.1878312,9.269877666666668,15.689900000000002,0.05,104.1878312,honest,honest,79.22805353333334
35,106.105929725,29.684122666666664,15.498166666666684,0.05,106.105929725,honest,honest,60.92364039166665
36,104.3453677,557.6934899999994,16.853733333333352,0.2875,104.3453677,honest,honest,0.0
37,85.55320334999999,571.1546399999997,18.05713333333332,0.2875,40.42820334999999,honest,honest,0.0
38,85.551114525,293.872402000001,20.928533333333288,0.2875,40.426114525,honest,honest,0.0
39,85.5133049,47.65636066666666,21.65900000000004,0.1874035148916668,40.388304899999994,honest,honest,0.0
40,109.3855705,10.130156,25.15046666666657,0.05,83.2789026705833,honest,honest,47.99828000391673
41,114.70659512499999,0.0,28.76983333333339,0.05,114.70659512499999,hide_information,honest,85.9367617916666
42,114.724340625,0.0456666666666666,26.955733333333395,0.05,114.724340625,honest,honest,87.72294062499994
43,96.32285912500001,5.4003890000000006,35.173399999999944,0.05,96.32285912500001,honest,deception,55.74907012500006
44,96.23652737500001,1.3231666666666668,38.66953333333324,0.05,96.23652737500001,honest,deception,56.2438273750001
45,96.03188825000001,0.1595333333333333,42.86426666666659,0.05,96.03188825000001,honest,deception,53.008088250000085
46,95.7418341,2.243722,49.57663333333335,0.05,95.7418341,honest,deception,43.92147876666666
47,97.750824125,0.2667666666666666,61.32799999999981,0.05038014250000001,97.750824125,hide_information,honest,36.236087458333515
48,55.844783625,0.0,63.0319666666669,0.08448219805416776,55.77255655,hide_information,honest,0.0
