timestep,demand_kw,effective_demand_kw,battery_soc,battery_charged_kw,curtailed_energy_kw,import_price_eur_kwh,solar_declared_kw,solar_price_eur_kwh,solar_allocated_kw,solar_delivered_kw,solar_shortfall_kw,solar_cost_eur,wind_declared_kw,wind_price_eur_kwh,wind_allocated_kw,wind_delivered_kw,wind_shortfall_kw,wind_cost_eur,grid_purchased_kw,grid_cost_eur,total_cost_eur,renewable_coverage_pct,strategy_as,strategy_ae
0,55.8038,5.8038,0.2368,0.0,0.0,0.18279,1.3489,0.155371,1.3489,1.3489,0.0,0.20958,15.1037,0.155371,4.4549,4.4549,0.0,0.692162,0.0,8e-06,0.90175,10.4,honest,honest
1,36.6111,1.1111,0.05,0.0,0.0,0.18319,0.0,0.155712,0.0,0.0,0.0,0.0,13.8428,0.155712,1.1111,1.1111,0.0,0.173012,0.0,2e-06,0.173014,3.03,honest,honest
2,36.6616,36.6616,0.05,0.0,0.0,0.18874,0.0,0.150992,0.0,0.0,0.0,0.0,12.1852,0.160429,12.1852,12.1852,0.0,1.954859,24.4764,4.619672,6.574532,33.24,honest,honest
3,36.6904,36.6904,0.05,0.0,0.0,0.18777,0.0,0.178381,0.0,0.0,0.0,0.0,10.661,0.159604,10.661,10.661,0.0,1.701538,26.0294,4.887542,6.58908,29.06,honest,honest
4,37.0661,37.0661,0.05,0.0,0.0,0.18019,0.0,0.144152,0.0,0.0,0.0,0.0,14.0967,0.153161,14.0967,14.0967,0.0,2.159065,22.9694,4.138861,6.297925,38.03,honest,honest
5,56.1383,56.1383,0.05,0.0,0.0,0.1723,0.0,0.146455,0.0,0.0,0.0,0.0,13.018,0.146455,13.018,13.018,0.0,1.906551,43.1203,7.429635,9.336186,23.19,honest,honest
6,96.0308,96.0308,0.05,0.0,0.0,0.17128,2.975,0.145588,2.975,2.975,0.0,0.433124,21.9501,0.145588,21.9501,21.9501,0.0,3.195671,71.1057,12.178989,15.807785,25.96,honest,honest
7,112.0436,112.0436,0.05,0.0,0.0,0.1679,2.6177,0.142715,2.6177,2.6177,0.0,0.373585,29.2223,0.142715,29.2223,29.2223,0.0,4.170461,80.2036,13.466193,18.010238,28.42,honest,honest
8,104.1204,104.1204,0.05,0.0,0.0,0.16598,12.257,0.141083,12.257,12.257,0.0,1.729254,34.6217,0.141083,34.6217,34.6217,0.0,4.884533,57.2417,9.500977,16.114764,45.02,honest,honest
9,85.397,85.397,0.05,0.0,0.0,0.42315,4.6202,0.359678,4.6202,4.6202,0.0,1.661784,23.769,0.359678,23.769,23.769,0.0,8.549186,57.0078,24.122868,34.333838,33.24,honest,honest
10,104.1629,104.1629,0.05,0.0,0.0,0.07495,35.1806,0.05996,35.1806,27.062,8.1186,1.622638,14.4917,0.071203,14.4917,14.4917,0.0,1.031853,62.6092,4.692559,7.347049,39.89,honest,honest
11,106.075,106.075,0.05,0.0,0.0,0.04975,322.3936,0.0398,106.075,106.075,0.0,4.221785,13.1757,0.047262,0.0,0.0,0.0,0.0,0.0,0.0,4.221785,100.0,honest,honest
12,104.2731,104.2731,0.05,0.0,0.0,0.04581,1273.8884,0.036648,104.2731,104.2731,0.0,3.821401,14.1813,0.043519,0.0,0.0,0.0,0.0,0.0,0.0,3.821401,100.0,honest,honest
13,85.4716,85.4716,0.05,0.0,0.0,0.05157,879.7133,0.041256,85.4716,85.4716,0.0,3.526216,10.4855,0.048991,0.0,0.0,0.0,0.0,0.0,2e-06,3.526218,100.0,honest,honest
14,85.4863,85.4863,0.05,0.0,0.0,0.04173,269.7815,0.033384,85.4863,85.4863,0.0,2.853875,15.8316,0.039643,0.0,0.0,0.0,0.0,0.0,0.0,2.853875,100.0,honest,honest
15,85.4661,85.466,0.05,0.0,0.0,0.02912,156.5906,0.023296,85.466,85.466,0.0,1.991016,16.7127,0.027664,0.0,0.0,0.0,0.0,0.0,0.0,1.991016,100.0,honest,honest
16,109.36,109.36,0.05,0.0,0.0,0.14906,34.8514,0.126701,34.8514,34.8514,0.0,4.415707,25.9287,0.126701,25.9287,25.9287,0.0,3.285192,48.5799,7.241316,14.942215,55.58,honest,honest
17,114.6607,114.6607,0.05,0.0,0.0,0.27286,60.9109,0.231931,60.9109,60.9109,0.0,14.127126,24.6595,0.231931,24.6595,24.6595,0.0,5.719302,29.0903,7.937572,27.784,74.63,honest,honest
18,114.6677,114.6677,0.05,0.0,0.0,0.19118,5.3852,0.162503,5.3852,5.3852,0.0,0.875111,28.4502,0.162503,28.4502,28.4502,0.0,4.623243,80.8323,15.453512,20.951866,29.51,honest,honest
19,96.2705,96.2705,0.05,0.0,0.0,0.19157,6.1445,0.162834,6.1445,6.1445,0.0,1.000534,27.824,0.162834,27.824,27.824,0.0,4.530693,62.302,11.935197,17.466424,35.28,honest,honest
20,96.2177,96.2177,0.05,0.0,0.0,0.19405,0.6566,0.164942,0.6566,0.6566,0.0,0.108301,22.4133,0.164942,22.4133,22.4133,0.0,3.696895,73.1478,14.194333,17.999528,23.98,honest,honest
21,96.034,96.034,0.05,0.0,0.0,0.19587,0.01,0.166489,0.01,0.01,0.0,0.001665,24.7957,0.166489,24.7957,24.7957,0.0,4.128211,71.2283,13.951479,18.081356,25.83,honest,honest
22,95.7553,95.7553,0.05,0.0,0.0,0.19301,0.0,0.164058,0.0,0.0,0.0,0.0,27.6833,0.164058,27.6833,27.6833,0.0,4.541667,68.072,13.138571,17.680238,28.91,honest,honest
23,97.7678,97.7678,0.05,0.0,0.0,0.18125,0.7995,0.154062,0.7995,0.7995,0.0,0.123173,34.831,0.154062,34.831,34.831,0.0,5.366134,62.1373,11.262378,16.751684,36.44,honest,honest
24,55.856,55.856,0.05,0.0,0.0,0.16849,0.0,0.143216,0.0,0.0,0.0,0.0,20.962,0.143216,20.962,20.962,0.0,3.002094,34.894,5.87929,8.881384,37.53,honest,honest
25,36.6235,36.6235,0.05,0.0,0.0,0.15603,0.0,0.148228,0.0,0.0,0.0,0.0,19.7901,0.132626,19.7901,19.7901,0.0,2.624682,16.8334,2.626508,5.25119,54.04,honest,honest
26,36.6816,36.6816,0.05,0.0,0.0,0.14168,0.0,0.113344,0.0,0.0,0.0,0.0,15.3997,0.120428,15.3997,15.3997,0.0,1.854555,21.2819,3.015221,4.869776,41.98,honest,honest
27,36.7105,36.7105,0.05,0.0,0.0,0.14258,0.0,0.135451,0.0,0.0,0.0,0.0,11.9491,0.121193,11.9491,11.9491,0.0,1.448147,24.7614,3.530478,4.978625,32.55,honest,honest
28,37.0856,37.0856,0.05,0.0,0.0,0.14257,0.0,0.114056,0.0,0.0,0.0,0.0,10.8319,0.121185,10.8319,10.8319,0.0,1.312664,26.2537,3.742985,5.055649,29.21,honest,honest
29,56.1362,56.1362,0.05,0.0,0.0,0.14071,0.111,0.119604,0.111,0.111,0.0,0.013276,10.4668,0.119604,10.4668,10.4668,0.0,1.251871,45.5584,6.410527,7.675674,18.84,honest,honest
30,96.0506,96.0506,0.05,0.0,0.0,0.16173,0.7482,0.13747,0.7482,0.7482,0.0,0.102855,14.5802,0.13747,14.5802,14.5802,0.0,2.00434,80.7222,13.055196,15.162391,15.96,honest,honest
31,112.099,112.099,0.05,0.0,0.0,0.16818,0.0,0.142953,0.0,0.0,0.0,0.0,12.9573,0.142953,12.9573,12.9573,0.0,1.852285,99.1417,16.673657,18.525942,11.56,honest,honest
