episode,solar_reward,wind_reward,total_reward,solar_q_mean,wind_q_mean,battery_soc_mean,grid_purchased_kwh,solar_honest,solar_hide,solar_deception,wind_honest,wind_hide,wind_deception
1,-109990.1595741081,9663.24329949625,-100326.91627461185,4.376760845996558,6.59911777195826,0.9073446854255852,3242.27810406497,2877,3001,2881,2921,2892,2946
2,-106397.07804272503,10041.31128422611,-96355.76675849891,7.8641018422296725,11.279926440091785,0.9073446854255852,3237.680608818398,2884,2931,2944,2911,2947,2901
3,-116782.95332824913,9618.056139406151,-107164.89718884298,10.23217694139553,14.322729070726808,0.9073446854255852,3203.18971288298,2884,2923,2952,2911,2902,2946
4,-109343.99434341423,9951.733637387844,-99392.26070602638,12.021731908541568,16.50555717386471,0.9073446854255852,3154.543912318275,2931,2960,2868,2934,2950,2875
5,-124390.36159681324,9882.118261329297,-114508.24333548394,12.956628134671623,18.144541039912795,0.9073446854255852,3235.1520566363824,2890,2930,2939,3008,2868,2883
6,-112104.62029047294,9951.42309221142,-102153.19719826152,14.500674012371054,19.481167628681302,0.9073446854255852,3163.3290206017887,2904,2943,2912,2942,2953,2864
7,-107089.83939253942,9951.022927363369,-97138.81646517605,15.405127768084022,20.688890058139826,0.9073446854255852,3237.3776525357425,2907,2929,2923,2965,2923,2871
8,-104363.0409251567,9761.423659948463,-94601.61726520825,16.615188538604876,21.429744732970534,0.9073446854255852,3211.160037049173,2892,2944,2923,2968,2903,2888
9,-111454.29226645887,9843.253129626257,-101611.03913683261,17.314173504858896,22.24849380613343,0.9073446854255852,3213.856328107628,2908,2911,2940,2945,2940,2874
10,-105162.64295575173,9827.586076574577,-95335.05687917715,18.101387988572345,22.96434902141421,0.9073446854255852,3164.6016985677134,2936,2928,2895,2854,2970,2935
11,-106052.42133488186,9692.535630547862,-96359.885704334,18.477832660343044,23.36382438080669,0.9073446854255852,3156.746722232951,2904,2889,2966,2963,2909,2887
12,-111821.467711852,9927.93187724096,-101893.53583461104,18.957371300329417,24.077938747043795,0.9073446854255852,3198.2815253952913,2963,2900,2896,2951,2898,2910
13,-105924.23169640909,9957.489606612879,-95966.7420897962,19.579848414670902,24.671374260660347,0.9073446854255852,3190.9261516033325,2891,3017,2851,2963,2949,2847
14,-108643.6164807105,10044.463478639154,-98599.15300207134,20.242284594928567,25.407493964164477,0.9073446854255852,3190.5420367962015,2859,2958,2942,3012,2947,2800
15,-105177.52616822199,9680.074301245348,-95497.45186697664,20.780933696120236,26.03688712620241,0.9073446854255852,3183.32279325207,2891,2943,2925,2952,2875,2932
16,-115701.49626343325,9926.349451211969,-105775.14681222128,21.024611769933713,26.401684200815282,0.9073446854255852,3171.0427413446027,2959,2893,2907,2957,2894,2908
17,-118294.05607667031,10137.080470133265,-108156.97560653705,21.854615909410057,26.75363893387796,0.9073446854255852,3173.552283920671,2915,2906,2938,2989,2936,2834
18,-110739.7204131091,9556.145257618415,-101183.57515549069,22.231297223530223,27.007166185667526,0.9073446854255852,3168.058809353912,2914,2951,2894,2873,2943,2943
19,-103582.4801447007,10367.12485529013,-93215.35528941057,22.784004961440658,27.532465186334754,0.9073446854255852,3191.8118995624877,2862,3012,2885,3058,2904,2797
20,-114105.42717999635,10003.274411478387,-104102.15276851796,22.838811800169925,28.067635488338155,0.9073446854255852,3184.2937308124074,2870,2950,2939,2858,3021,2880
21,-106440.24632485787,10127.373601761155,-96312.87272309672,23.3100713983952,28.519350494062493,0.9073446854255852,3176.863920627039,2962,2936,2861,2961,2984,2814
22,-105427.61320782665,10248.664650300594,-95178.94855752606,24.25913928624339,28.88539933818567,0.9073446854255852,3187.809029122074,2881,2963,2915,2938,2968,2853
23,-113402.02522698078,9811.293819100847,-103590.73140787994,24.344894328235362,29.028020847938766,0.9073446854255852,3209.3224675512406,2927,2917,2915,2890,2974,2895
24,-106599.29284073497,10064.426547853593,-96534.86629288137,24.663297520892115,29.2184346116187,0.9073446854255852,3243.380499604243,2922,2937,2900,2961,2987,2811
25,-111241.97616291739,9867.8370669483,-101374.13909596909,25.20079128705101,29.64284015857617,0.9073446854255852,3224.097232786615,2933,2915,2911,2961,2893,2905
26,-108410.10717002027,10008.701998407281,-98401.40517161299,25.144224250150316,29.906169412872508,0.9073446854255852,3165.2144879695775,2950,2930,2879,2993,2919,2847
27,-107234.47775247155,10121.747661656234,-97112.73009081531,25.56211205196005,30.232818588137125,0.9073446854255852,3196.2642911015537,2816,3014,2929,2907,2995,2857
28,-116335.08952146966,9771.671297871844,-106563.41822359782,25.702048428369267,30.489390148886592,0.9073446854255852,3207.0570482241255,2866,2941,2952,2915,2959,2885
29,-107373.06952504587,10310.905248800507,-97062.16427624536,26.022331352539247,30.808971069655456,0.9073446854255852,3198.6359263108316,2941,2981,2837,3010,2901,2848
30,-106876.67948460653,10200.500888712399,-96676.17859589413,26.255720339818108,30.78579195585937,0.9073446854255852,3197.7062762474848,3024,2948,2787,2912,3043,2804
31,-102800.96033642803,9860.724946647137,-92940.2353897809,26.69620589113847,31.103684736612276,0.9073446854255852,3243.916798708638,2916,3025,2818,2861,3028,2870
32,-100560.38326935103,10082.43298350831,-90477.95028584273,27.299199766013093,31.2760718835539,0.9073446854255852,3190.6716063253207,2845,2984,2930,2968,2936,2855
33,-103006.94738094026,10318.479639698877,-92688.46774124137,27.671696174538408,31.545333775980097,0.9073446854255852,3217.7709556188433,2869,2962,2928,2880,3064,2815
34,-101291.02619449348,9935.575992520451,-91355.45020197303,27.857648126190483,31.70887959078803,0.9073446854255852,3191.36567131071,2881,3006,2872,2948,2999,2812
35,-104260.64734946289,9906.071945922986,-94354.5754035399,28.38929894250109,31.759675890372222,0.9073446854255852,3160.6205758211845,2955,2967,2837,2900,2925,2934
36,-99370.15883631154,10188.718434772603,-89181.44040153894,28.007205306881968,31.800908154362485,0.9073446854255852,3177.8139894601777,2936,2945,2878,2944,2947,2868
37,-112397.78333565981,10270.454964834547,-102127.32837082527,28.288529244132842,32.0207392356664,0.9073446854255852,3231.160326379484,2920,2921,2918,2950,3000,2809
38,-98589.09106710265,10302.316154178468,-88286.77491292419,28.257794801178875,32.26424681557581,0.9073446854255852,3190.362706689871,2947,2957,2855,3032,2923,2804
39,-106911.8916986002,9966.940300573868,-96944.95139802633,28.520729324737935,32.45910747978788,0.9073446854255852,3187.2564082561753,2931,2979,2849,2958,2982,2819
40,-97421.50546162736,10228.97893186853,-87192.52652975882,28.8324280178559,32.66636284027536,0.9073446854255852,3268.8445347765683,2896,2991,2872,2962,2988,2809
41,-109061.22307567259,10256.74321752244,-98804.47985815015,28.395930916932638,32.98030243668002,0.9073446854255852,3225.2424805554847,2903,2957,2899,2919,3021,2819
42,-103762.0974393648,10469.455276617326,-93292.64216274748,29.21307076773531,32.983067220311575,0.9073446854255852,3190.582234049858,2882,3009,2868,2994,3025,2740
